subject,category,feature,real_mean,fake_mean,cohens_d,abs_cohens_d,p_value,significant,effect_size
Politics/Government,Politics/Government,attribution_ratio,0.014600745110905422,0.005532313224113143,-1.0945880825762577,1.0945880825762577,0.0,True,Large
Politics/Government,Politics/Government,attribution_count,4.979684173172463,2.219831173463322,-0.7693107247793229,0.7693107247793229,0.0,True,Medium
Politics/Government,Politics/Government,long_word_ratio,0.313261916590199,0.25332322886888037,-0.7224371928775065,0.7224371928775065,0.0,True,Medium
Politics/Government,Politics/Government,time_reference_count,2.2519517388218593,0.9596956366662703,-0.6951055737406556,0.6951055737406556,0.0,True,Medium
Politics/Government,Politics/Government,question_ratio,0.0036358491892309274,0.0575828528616635,0.6865471228127461,0.6865471228127461,0.0,True,Medium
Politics/Government,Politics/Government,first_person_ratio,0.004511415404921611,0.012854695046100439,0.6565337115928158,0.6565337115928158,0.0,True,Medium
Politics/Government,Politics/Government,question_count,0.12943577004968063,1.0517179883485912,0.6179346422495331,0.6179346422495331,0.0,True,Medium
Politics/Government,Politics/Government,exclamation_count,0.09288502484031227,0.8430626560456544,0.5919842800882287,0.5919842800882287,0.0,True,Medium
Politics/Government,Politics/Government,gunning_fog_index,15.464284505574295,13.118335522360308,-0.5841553403017641,0.5841553403017641,0.0,True,Medium
Politics/Government,Politics/Government,content_word_ratio,0.7548734422754754,0.7861964169559993,0.5684283052802339,0.5684283052802339,0.0,True,Medium
Politics/Government,Politics/Government,function_word_ratio,0.24512655772452457,0.21380358304400068,-0.5684283052802335,0.5684283052802335,0.0,True,Medium
Politics/Government,Politics/Government,exclamation_ratio,0.0038840151971230724,0.07181623290048891,0.5596472788591306,0.5596472788591306,0.0,True,Medium
Politics/Government,Politics/Government,colon_count,0.448722498225692,2.447271430269885,0.5588538924529322,0.5588538924529322,0.0,True,Medium
Politics/Government,Politics/Government,objectivity_score,0.7696038316051096,0.5992601765427729,-0.5382025222202773,0.5382025222202773,3.327748236013524e-299,True,Medium
Politics/Government,Politics/Government,attribution_word_count,2.3887508871540097,1.6304838901438592,-0.5026272580873591,0.5026272580873591,2.3660915584452683e-266,True,Medium
Politics/Government,Politics/Government,url_count,0.0,0.1631197241707288,0.45750446624104035,0.45750446624104035,3.934942649474811e-251,True,Small
Politics/Government,Politics/Government,dash_count,5.2652590489709015,3.020092735703246,-0.4573815259409279,0.4573815259409279,3.87631908771259e-220,True,Small
Politics/Government,Politics/Government,first_person_count,1.764904187366927,5.073712994887647,0.4210828771351696,0.4210828771351696,1.9492609839120955e-203,True,Small
Politics/Government,Politics/Government,title_case_ratio,0.18799109477176892,0.16190314337560135,-0.3716158568637594,0.3716158568637594,6.381931494814036e-153,True,Small
Politics/Government,Politics/Government,paragraph_count,0.9999112845990064,0.9429318749256925,-0.34706634669364883,0.34706634669364883,4.3428380369206044e-147,True,Small
General News,General News,attribution_ratio,0.015571184365751837,0.0043056568928269345,-1.5101030757244003,1.5101030757244003,0.0,True,Large
General News,General News,sentiment_subjectivity,0.3410227590130485,0.46956564268934486,1.3145990755206602,1.3145990755206602,0.0,True,Large
General News,General News,long_word_ratio,0.29837150202129586,0.24933322338224528,-1.1728130099850773,1.1728130099850773,0.0,True,Large
General News,General News,third_person_ratio,0.016416806481837295,0.03401523048320165,1.1235360826163905,1.1235360826163905,0.0,True,Large
General News,General News,flesch_reading_ease,41.54379751597442,52.6666866293003,1.1147038432719052,1.1147038432719052,0.0,True,Large
General News,General News,flesch_kincaid_grade,13.340999795400386,10.925760170311746,-1.0512441304473714,1.0512441304473714,0.0,True,Large
General News,General News,gunning_fog_index,15.95915652524309,13.464542575165718,-0.9954264756200023,0.9954264756200023,0.0,True,Large
General News,General News,third_person_count,6.614884179398719,15.36692769246415,0.9677306665249696,0.9677306665249696,0.0,True,Large
General News,General News,function_word_ratio,0.2525710698219411,0.2250850883340555,-0.9254823623708873,0.9254823623708873,0.0,True,Large
General News,General News,content_word_ratio,0.7474289301780589,0.7749149116659445,0.9254823623708873,0.9254823623708873,0.0,True,Large
General News,General News,question_ratio,0.0026051873189014444,0.04671042119482295,0.9056790210137257,0.9056790210137257,0.0,True,Large
General News,General News,attribution_count,4.66722523410547,1.9647106681582427,-0.8837291938348045,0.8837291938348045,0.0,True,Large
General News,General News,colon_count,0.23390832922621982,2.6458863012305502,0.8817248654334087,0.8817248654334087,0.0,True,Large
General News,General News,automated_readability_index,14.365697585648846,11.901337978057963,-0.8703835189013888,0.8703835189013888,0.0,True,Large
General News,General News,avg_syllables_per_word,1.6912642558510498,1.6041075806732576,-0.8672935256290254,0.8672935256290254,0.0,True,Large
General News,General News,time_reference_count,2.1221291276490883,0.8356554459473202,-0.8670035013168901,0.8670035013168901,0.0,True,Large
General News,General News,coleman_liau_index,11.877666575856985,10.511078547458734,-0.8043602125402385,0.8043602125402385,0.0,True,Large
General News,General News,bias_count,0.06357811729916214,0.46394793043831994,0.7853647471215385,0.7853647471215385,0.0,True,Medium
General News,General News,certainty_count,0.24159684573681617,0.7699583036713109,0.7589150773958592,0.7589150773958592,0.0,True,Medium
General News,General News,concrete_word_count,1.9774273040906851,3.182141767517543,0.7356931477026488,0.7356931477026488,0.0,True,Medium
