rank,feature,z_score,abs_z_score,direction,mean_value,overall_mean
1,entity_density,-0.3704905864219449,0.3704905864219449,Lower ↓,0.0876699611491162,0.10217966771739966
2,pronoun_ratio,0.36942185460120897,0.36942185460120897,Higher ↑,0.06841611942167086,0.05735961180367165
3,colons,0.3186560873549878,0.3186560873549878,Higher ↑,2.7874216755627756,1.5789866040165361
4,question_marks,0.29883483793970045,0.29883483793970045,Higher ↑,1.227895103272221,0.6882779497142341
5,smog_index,-0.27913327500113966,0.27913327500113966,Lower ↓,13.247013297025482,13.834173752989997
6,gpe_entities,-0.273025637896277,0.273025637896277,Lower ↓,5.14643768855883,7.950233808480358
7,exclamation_marks,0.24890017159425312,0.24890017159425312,Higher ↑,0.7781387792991413,0.4134456818849256
8,dale_chall_readability,-0.21648927403947602,0.21648927403947602,Lower ↓,10.755032119982586,11.002096532436418
9,ellipsis,-0.20956713467618676,0.20956713467618676,Lower ↓,0.001392434439545138,0.08073734384530237
10,gunning_fog,-0.2073643118870216,0.2073643118870216,Lower ↓,14.094054192952456,14.749803652883141
